clip_key,corpus,clip_idx,video_id,category,window_idx,start_s,end_s,scene_spatial_gap,agent_action_gap,control_gap,mean_visual_gap,peak_visual_gap,dominant_type,dominance_margin,visual_minus_control,raw_trs,route
inbench_clip_00_Q76JRCyTnSc_000007_000017,inbench,0.0,Q76JRCyTnSc_000007_000017,Food & Cooking,0,0.0,4.47,0.11756543452399178,0.16496152603201875,0.23260639412912856,0.17187000364027963,0.21827114107900303,agent_action,0.04739609150802697,-0.06764486809710982,3,static_ad_ok_low_gap
inbench_clip_00_Q76JRCyTnSc_000007_000017,inbench,0.0,Q76JRCyTnSc_000007_000017,Food & Cooking,1,4.47,7.45,0.07740965752068996,0.020058774482805852,0.11539404355829513,0.07740965752068996,0.11529375233921801,scene_spatial,0.057350883037884104,-0.03798438603760518,2,static_ad_ok_low_gap
inbench_clip_00_Q76JRCyTnSc_000007_000017,inbench,0.0,Q76JRCyTnSc_000007_000017,Food & Cooking,2,7.45,10.43,0.30653183329322625,0.014499622001129753,0.14103990974196334,0.30653183329322625,0.38484332527654275,scene_spatial,0.2920322112920965,0.1654919235512629,2,layout_replay_or_scene_cue
inbench_clip_00_Q76JRCyTnSc_000007_000017,inbench,0.0,Q76JRCyTnSc_000007_000017,Food & Cooking,3,10.43,13.41,0.43270854396733743,0.02622088474772505,0.10072395178623195,0.43270854396733743,0.5041407181798297,scene_spatial,0.4064876592196124,0.3319845921811055,2,layout_replay_or_scene_cue
inbench_clip_00_Q76JRCyTnSc_000007_000017,inbench,0.0,Q76JRCyTnSc_000007_000017,Food & Cooking,4,13.41,14.9,0.03039549970716615,0.2528837231678601,0.10378730788454427,0.2528837231678601,0.2528837231678601,agent_action,0.22248822346069397,0.14909641528331585,1,static_ad_ok_low_gap
inbench_clip_01_058y9xGmmTQ_000206_000216,inbench,1.0,058y9xGmmTQ_000206_000216,Food & Cooking,0,0.0,4.47,0.5596178116433012,0.12936757666394597,0.07988725957729004,0.5596178116433012,0.6487414267941953,scene_spatial,0.4302502349793552,0.4797305520660111,3,layout_replay_or_scene_cue
inbench_clip_01_058y9xGmmTQ_000206_000216,inbench,1.0,058y9xGmmTQ_000206_000216,Food & Cooking,1,4.47,7.45,0.28103168705967096,0.04991589159471416,0.012829114168900757,0.28103168705967096,0.32706276132435586,scene_spatial,0.2311157954649568,0.2682025728907702,2,layout_replay_or_scene_cue
inbench_clip_01_058y9xGmmTQ_000206_000216,inbench,1.0,058y9xGmmTQ_000206_000216,Food & Cooking,2,7.45,10.43,0.10446783388267444,0.03122390185510099,0.010891160499202246,0.10446783388267444,0.1420804672760082,scene_spatial,0.07324393202757346,0.0935766733834722,2,static_ad_ok_low_gap
inbench_clip_01_058y9xGmmTQ_000206_000216,inbench,1.0,058y9xGmmTQ_000206_000216,Food & Cooking,3,10.43,13.41,0.028420653935497087,0.03153696440632903,0.025663588561268436,0.03153696440632903,0.035388865954273596,agent_action,0.00311631047083194,0.005873375845060591,2,static_ad_ok_low_gap
inbench_clip_01_058y9xGmmTQ_000206_000216,inbench,1.0,058y9xGmmTQ_000206_000216,Food & Cooking,4,13.41,16.39,0.07590424092777498,0.13100628204485598,0.25644083970683357,0.13100628204485598,0.18632556819949908,agent_action,0.055102041117081,-0.12543455766197759,2,static_ad_ok_low_gap
