clip_key,corpus,category,clos_auditory_control,clos_body_eba_region,clos_early_visual_v1,clos_face_ffc,clos_higher_visual_v2v3v4,clos_language_control,clos_lateral_object_loc,clos_motion_mt_complex,clos_retrosplenial_pos,clos_scene_ppa
external_Xdz1cxEjLYc_000007_000017,external,Food & Cooking,-0.06825704276130212,-10.633998583177114,-0.954012337777867,-2.7765810315254567,-1.2101523624791706,-0.9555734814856466,-7.70643938618578,-2.624504786183451,-1.4108289102542286,-12.654376375002359
external_Z5w-wkrjHuw_000345_000355,external,Entertainment,-1.5552057590462838,-2.6874658182939637,-2.460149324779198,-2.1804976331642565,-4.077701762371474,-2.6466241819068936,-4.832062998012716,-4.466688424046579,-27.136927353746607,-8.26422287535352
external_ZcYB6tPK2Eo_000138_000148,external,How-to & Instructional,-0.5948327393360727,-0.835078224984377,-0.0001172123840864519,-0.20965782140631228,-0.5436193502511492,-1.0947438523555482,-1.2922027085720913,-0.8791506592226758,0.7491382752538766,0.28047298057103187
external__TKzyWZHjm8_000002_000012,external,Health & Wellness,-2.793887643702896,-4.396951109350889,-0.18482742295281201,-1.2877059239932453,-1.9106956096041454,-29.430282566630925,-9.383785305170239,-7.281474315756397,-7.686444635750854,-4.526045688192351
external__oAKCHh_Av4_000003_000013,external,People & Vlogs,-0.05641525417264275,-0.5522035729319823,-0.12066120305157171,-0.16590002788259303,0.155259376396253,-0.0040993849337040275,0.01938075786112892,0.2652214795635478,0.16610233843615535,-0.5954342721323715
external_bgt29znHCzs_000343_000353,external,Sports,-21.70225377704444,-5.0508963332661345,-1.6952258376606752,-3.0880814284486293,-7.810329719001004,-16.571604319294078,-13.742888494893817,-5.109475086964974,-3.8460991084695615,-3.421543119769805
external_c_gQ9CSaZY4_000000_000010,external,How-to & Instructional,-4.678723162334174,-0.1788431100522578,-0.1355540053594286,0.1784377051960117,-1.3251700547249858,-16.63127596390625,-1.3274539826668081,-0.06007087798059207,0.7901384237627483,-0.02226595035274067
external_crjesEwF0Ks_000197_000207,external,How-to & Instructional,-52.595183003325104,0.39660921222801854,-0.31950609108670824,0.40116258330383936,-0.7261445086171149,-49.8085214882947,-0.3738615675733561,0.4484409114235705,0.6980156125782581,0.918470526974392
external_d7_SY48r__8_000060_000070,external,How-to & Instructional,-58.62262644119797,0.3827194779244227,-0.028929618411192463,-0.513801318736501,-3.2201706615214234,-23.383393940635333,-1.2253575545100674,0.5712111420190691,0.8329498264635666,-3.0191262429170362
external_dlBeUWrse3I_000019_000029,external,How-to & Instructional,-1.708811278698034,0.4709882725217614,0.24207517146955618,0.5362244024282807,0.2180715103668895,-5.43919791565113,-0.7651807054159682,0.14980692830409756,0.49456659874449044,0.4132243793157627
external_eb-ufaFcUas_000008_000018,external,Entertainment,-14.643676931297325,-6.528515108634815,-3.1101701872398344,-4.825455049553434,-19.885411593586895,-42.70070996828851,-25.59842862905018,-19.528987410065806,-6.932130584216961,-1.570584510136523
external_g8Idd47kGqo_000037_000047,external,Entertainment,-28.811454090148807,-0.4242827292445293,-0.21180048617201636,-1.0900658609986171,-0.5791960235081735,-7.409550125821013,-0.06565530094849929,0.7098228565606026,-3.1090231218243733,0.30692726395886005
external_gFBO3zrod9Y_000005_000015,external,People & Vlogs,-0.5054487184328812,0.6832155108030014,0.017500830350378766,-0.19702181181220313,0.4511328125048059,-2.9892871784268036,0.8049575089581414,0.6565802155202412,-5.844012737710367,-25.48387419906472
external_h8wsO9A9v_c_000016_000026,external,People & Vlogs,-32.3447385557776,-10.483266936031127,-3.150070914496017,-11.745885622579927,-12.151964161492831,-23.414916974092886,-10.115846816548736,-1.5632155945344715,-4.989863957750632,-7.12070015398527
external_heWD9j45Emw_000225_000235,external,Music,-3.7829736249981183,-4.861990152141603,-4.336295861831845,-7.8255458650695235,-9.567808788891394,-13.409080766538441,-15.364380144029361,-4.258901967930109,-21.98029329612778,-10.862007297138428
external_iEAWgsSvJAE_000023_000033,external,Film & Animation,-32.97688400958972,-0.10845973333335625,-0.7339172729855998,0.008878020573044142,-7.359158968608602,-76.31160532849597,-1.915325945953217,0.028366642244086606,-12.349081426070846,-5.260072149178958
external_iGmGQxox43I_000000_000010,external,How-to & Instructional,-0.3833203412070501,0.6339661557956646,-0.07554886346748908,0.5917612900350963,0.3492124678661332,-3.584531707778767,-0.045817888262801976,0.205438862637867,-0.8983628717015408,-0.27070723534882896
external_iZP6gjlr_nM_000113_000123,external,How-to & Instructional,-2.9140877234646383,-14.073294029135477,-0.744813611209487,-5.84614954051256,-4.516389724131701,-5.555409572691406,-7.021620397104495,-10.517402411673764,-1.6375605427342987,0.532634789033927
external_j4CKRgv3jUg_000000_000010,external,Entertainment,-1.3345293990579998,-2.012992439008694,-1.1607237492765796,-0.6639591226669243,-1.3016439401852775,-0.9200308196761208,-2.6596568194601136,-2.3586054482264656,0.370947228065936,0.8721582206060411
external_j6CgiNeWQwM_000842_000852,external,Food & Cooking,-16.24873555565973,-1.846235532180723,-2.1297980859813914,-1.2013922511936843,-1.0858947535833707,-6.1177230600469645,-2.618812557523053,0.2210441572294361,0.6637764934105072,0.5048559830556759
external_jeweRSnAJeo_000050_000060,external,Film & Animation,-17.4917126613899,-0.847422643508868,-0.14988346292837793,-1.3922080044729548,-0.8495159858197563,-6.597976710264589,-1.117757236799953,-0.8112491800733304,0.022024560543921236,-2.186540902919634
external_lgJywzzdUC8_000000_000010,external,Event,-22.70357214379317,-2.3546608335795485,0.15035970475530702,-0.2362660184666937,-1.3426786013558103,-12.698497872130211,-1.5204333544911437,-3.696068620835608,-1.2510122288483752,0.8013044939749588
external_rGQ64NXktF8_000006_000016,external,People & Vlogs,-102.30088549491968,-6.245585896085783,-1.0585524963549255,-12.457854517985249,-6.552903999174149,-64.32819980423209,-22.947344706781717,-3.060669415319409,0.3149741155023653,-1.7410679712595223
external_u-olDM7oGGM_000012_000022,external,Health & Wellness,-2.3321928505396854,-8.031022608386461,-2.713351559387964,-2.33676574642637,-3.669316490164002,-1.6683386432815692,-8.949248450776336,-5.430409375082244,-2.026629966636232,-0.5067474098300987
external_v2Hr1CH-yb0_000076_000086,external,How-to & Instructional,-101.65875679253507,-0.5125568517369208,-0.0893931291602439,0.23404718575227004,-1.0971395139966973,-34.62496460207789,-0.6037975464018244,-0.821556130542071,0.4276882238269422,0.9327446178864093
external_wbOD_G3ttgU_000083_000093,external,How-to & Instructional,-18.879000222727303,-5.745943340121784,-0.13078783833239963,-2.036270469315233,-1.6384746545276616,-17.249099099870254,-2.091645463273172,-1.3121852132332903,-3.6091500799576273,-0.06339717866046637
external_xW6hpK-DBMY_000080_000090,external,How-to & Instructional,-2.2417117556165227,-2.900502656838476,-1.5693458670362084,-0.45507886819625964,-1.043889048717712,-3.7565225683526147,-2.8093022720702847,-1.5512030898472202,-9.170224814905279,-27.26050320117698
external_yBO8rAMeqjc_000007_000017,external,"Education, Seminar & Talks",-8.94787724921228,-1.9417854427294319,0.23136981120777889,0.21850770944792283,-3.9170175458523646,-15.171338550738255,-5.939396490643015,-0.28730514296514914,-3.764464352396998,-0.601940290336141
external_zTJ0Zbv1jBo_000045_000055,external,Health & Wellness,-0.7846266591594622,-0.43069824858952094,-0.9082186509741752,-0.20351865067198552,-1.0724451091624485,-0.08682521169849598,-0.4304571211662139,-0.27264711291850524,-0.3948591593320926,0.6477467682323499
