clip_key,corpus,category,accessibility_gap,auditory_control,body_eba_region,early_visual_v1,face_ffc,higher_visual_v2v3v4,language_control,lateral_object_loc,motion_mt_complex,retrosplenial_pos,scene_ppa
external_Xdz1cxEjLYc_000007_000017,external,Food & Cooking,0.08644013184582944,0.17455866159621758,0.006802833138201958,0.07269268045497512,0.013137816738803432,0.017319236505478064,0.1718752905180725,0.00538116953247747,0.009689707413469306,0.30120851568973495,0.08954657071362826
external_Z5w-wkrjHuw_000345_000355,external,Entertainment,0.08805246984084747,0.3954769351254337,0.05044058574992594,0.025786541361371484,0.0302227789216859,0.01722577514729695,0.2467726085480274,0.012024441885510773,0.012577711565612049,0.03433892153800222,0.015477181412704044
external_ZcYB6tPK2Eo_000138_000148,external,How-to & Instructional,0.25646987169948376,0.12322504687189306,0.03966025862813227,0.5067524927659034,0.06261852143859892,0.11899534156839076,0.3746854923957107,0.034591510514445756,0.04376302068497895,0.2919167953789584,0.07686446415742365
external__TKzyWZHjm8_000002_000012,external,Health & Wellness,0.1308002538681644,0.3297310887440126,0.026605765589051922,0.28810919546866176,0.07069997447312504,0.07354925244545119,0.05404944327852956,0.013535275286221338,0.021488311643293456,0.13361080467778275,0.05839876646225606
external__oAKCHh_Av4_000003_000013,external,People & Vlogs,0.19014348298258033,0.039020449019583237,0.056253071869825755,0.3212167378963784,0.075800094365152,0.19540567447126111,0.1176783534032122,0.08065614359338047,0.06446923291607165,0.6860012703034071,0.9652397718800465
external_bgt29znHCzs_000343_000353,external,Sports,0.13765484813168005,0.05366918674062926,0.02631745198008517,0.13217165006140774,0.03426003327416949,0.02595060270773042,0.048398063251615775,0.008824155663606503,0.024568149233708647,0.09215770010836677,0.012978248584025964
external_c_gQ9CSaZY4_000000_000010,external,How-to & Instructional,0.21586985493136313,0.18811485327967103,0.05218640076759096,0.20527467733953486,0.08593650720627755,0.05152033228824571,0.07165174834775656,0.018183493812253704,0.08743348458146394,1.2150101236366166,0.06408939705663763
external_crjesEwF0Ks_000197_000207,external,How-to & Instructional,0.3233000293028674,0.03432564503028612,0.17194525516995174,0.6001897216598235,0.24241473187936846,0.1489395248933122,0.029992281320760927,0.05680138260615042,0.12947681352676643,0.9446842564490917,0.41853810313342277
external_d7_SY48r__8_000060_000070,external,How-to & Instructional,0.41756418063859524,0.031244016622179127,0.23245898540150312,0.27691694925757926,0.26519827585505007,0.08031443287868467,0.06102463784380674,0.08222229022834338,0.4386335376591094,1.0872333568692307,0.30889392922271486
external_dlBeUWrse3I_000019_000029,external,How-to & Instructional,0.1937591584360412,0.02098792216058809,0.12446149784446747,0.20769730914416518,0.11308903650419544,0.10747116473222507,0.06269612673556824,0.04809525045584995,0.07411136437399535,0.5614651973383659,0.17936661611393745
external_eb-ufaFcUas_000008_000018,external,Entertainment,0.055594638105383676,0.05800354430065591,0.011918683654408513,0.04571340629492748,0.018101525768506432,0.00750798399837016,0.032100970659495354,0.0030863765228446027,0.0043314984746665175,0.11990717300587972,0.032653934000325235
external_g8Idd47kGqo_000037_000047,external,Entertainment,0.24311641316027965,0.05803961342568342,0.058099499089530826,0.9796638577476866,0.11529552574275614,0.20743243846788062,0.14915538650983717,0.042371763048764,0.09759211666207401,0.20058932477599323,0.044111329880762384
external_gFBO3zrod9Y_000005_000015,external,People & Vlogs,0.17114612043899524,0.015081533328828778,0.1768574559368753,0.05286335093464789,0.07902212663314612,0.054976249657170406,0.042627614191033225,0.2616412957948674,0.09611511897733471,0.11320205690935226,0.06277871111624733
external_h8wsO9A9v_c_000016_000026,external,People & Vlogs,0.05415916608269211,0.04627656810115366,0.009688437039501285,0.07751095828268306,0.015070073326602262,0.011328371353938271,0.039798730156805906,0.004543320196612299,0.0154322117860487,0.10558056097333868,0.005050242534763383
