query_vid,tier,gt,n_refs,correct_rank,correct_rank_pct,self_cos,distractor_mean_cos,cos_margin,z_margin,top_ref,top_cos,source_vid,source_rank,source_rank_pct,source_cos,word_count,alignment_cosine,high_alignment
v2Hr1CH-yb0_000076_000086,tier2_vatex_long,2,60,59,0.01694915254237288,-0.135895282,0.1061861913559322,-0.24208147335593222,-1.5462747405042583,S-C86j0keqc_000217_000227,0.45457378,,nan,nan,nan,18,0.0,False
v2Hr1CH-yb0_000076_000086,tier3_va11y,3,60,55,0.0847457627118644,-0.220536202,0.008015497762711866,-0.22855169976271186,-1.3131705465566672,0m0-Q0zz_-c_000112_000122,0.510174513,,nan,nan,nan,62,0.0,False
wbOD_G3ttgU_000083_000093,tier0_cross,0,60,47,0.22033898305084745,-0.143176779,0.002675089016949153,-0.14585186801694916,-0.8453437055625392,0m0-Q0zz_-c_000112_000122,0.498758763,xW6hpK-DBMY_000080_000090,7,0.8983050847457628,0.258258641,56,0.9982948219222976,True
wbOD_G3ttgU_000083_000093,tier1_vatex_short,1,60,50,0.1694915254237288,-0.304720461,-0.13674469884745763,-0.16797576215254237,-0.8850011852297925,EA3HCx0yTIY_000281_000291,0.452254355,,nan,nan,nan,13,0.9982948219222976,True
wbOD_G3ttgU_000083_000093,tier2_vatex_long,2,60,49,0.1864406779661017,-0.211392477,-0.056521646491525426,-0.15487083050847456,-0.8848394925868779,xW6hpK-DBMY_000080_000090,0.395450264,,nan,nan,nan,17,0.9982948219222976,True
wbOD_G3ttgU_000083_000093,tier3_va11y,3,60,45,0.2542372881355932,-0.323272258,-0.1533364293898305,-0.16993582861016948,-0.7837712939842275,0m0-Q0zz_-c_000112_000122,0.628132224,,nan,nan,nan,54,0.9982948219222976,True
xW6hpK-DBMY_000080_000090,tier0_cross,0,60,2,0.9830508474576272,0.298336923,-0.07067014615254237,0.36900706915254233,1.9865414461364923,0m0-Q0zz_-c_000112_000122,0.527946949,yBO8rAMeqjc_000007_000017,36,0.4067796610169492,-0.165623739,63,0.9574822738439321,True
xW6hpK-DBMY_000080_000090,tier1_vatex_short,1,60,7,0.8983050847457628,0.229283884,-0.06434954715254237,0.29363343115254237,1.6158887782347742,0m0-Q0zz_-c_000112_000122,0.475858063,,nan,nan,nan,18,0.9574822738439321,True
xW6hpK-DBMY_000080_000090,tier2_vatex_long,2,60,2,0.9830508474576272,0.441896379,0.13515041486440676,0.30674596413559324,2.297009777899142,S-C86j0keqc_000217_000227,0.45847255,,nan,nan,nan,21,0.9574822738439321,True
xW6hpK-DBMY_000080_000090,tier3_va11y,3,60,7,0.8983050847457628,0.258258641,-0.004128901152542373,0.2623875421525424,1.5414407901727596,0m0-Q0zz_-c_000112_000122,0.498758763,,nan,nan,nan,56,0.9574822738439321,True
yBO8rAMeqjc_000007_000017,tier0_cross,0,60,42,0.3050847457627119,-0.119363956,-0.0027270829152542383,-0.11663687308474575,-0.5869408374103987,0m0-Q0zz_-c_000112_000122,0.588623285,zTJ0Zbv1jBo_000045_000055,34,0.4406779661016949,-0.069496468,46,0.9999999999972835,True
yBO8rAMeqjc_000007_000017,tier1_vatex_short,1,60,57,0.05084745762711865,-0.244354397,-0.0869838846101695,-0.15737051238983052,-1.0578402629632273,GOH6fBhoi2o_000010_000020,0.358871907,,nan,nan,nan,12,0.9999999999972835,True
yBO8rAMeqjc_000007_000017,tier2_vatex_long,2,60,44,0.2711864406779661,-0.187677696,-0.04002195974576271,-0.14765573625423728,-0.785442628129973,0m0-Q0zz_-c_000112_000122,0.49778381,,nan,nan,nan,19,0.9999999999972835,True
yBO8rAMeqjc_000007_000017,tier3_va11y,3,60,36,0.4067796610169492,-0.165623739,-0.06280640611864406,-0.10281733288135593,-0.5374523006577818,0m0-Q0zz_-c_000112_000122,0.527946949,,nan,nan,nan,63,0.9999999999972835,True
