video_id,clip_key,category,mean_visual_gap,max_visual_gap,top1_vs_uniform,dominant_clip_type,top_windows,adqa_fail,clip_fail,ensemble_fail,adqa_full_order,clip_full_order,ensemble_full_order
21T1JDdJgsM_000047_000057,external_21T1JDdJgsM_000047_000057,Entertainment,0.19655998774942185,0.6462093690891746,3.2875936577335043,scene_spatial,"6.4-9.1s agent_action (action_state_or_agent_cue, peak=0.646); 0.0-3.6s scene_spatial (static_ad_ok_low_gap, peak=0.284); 3.6-6.4s scene_spatial (static_ad_ok_low_gap, peak=0.235)",0,1,0,1,0,1
Ccgwurislg8_000082_000092,external_Ccgwurislg8_000082_000092,How-to & Instructional,0.1984037632041385,0.6006253530729058,3.027288108718582,scene_spatial,"6.0-9.0s scene_spatial (layout_replay_or_scene_cue, peak=0.601); 9.0-10.0s scene_spatial (layout_replay_or_scene_cue, peak=0.560); 3.0-6.0s scene_spatial (static_ad_ok_low_gap, peak=0.125)",1,1,0,0,0,1
1-jIze6gy0g_000026_000036,external_1-jIze6gy0g_000026_000036,How-to & Instructional,0.19188481341365787,0.595758704526796,3.1047725660419117,scene_spatial,"6.0-9.0s scene_spatial (layout_replay_or_scene_cue, peak=0.596); 0.0-3.0s scene_spatial (static_ad_ok_low_gap, peak=0.262); 9.0-10.0s scene_spatial (static_ad_ok_low_gap, peak=0.251)",1,0,0,0,1,1
gFBO3zrod9Y_000005_000015,external_gFBO3zrod9Y_000005_000015,People & Vlogs,0.281395414445399,0.5856489099335302,2.0812311781547086,agent_action,"6.0-9.0s agent_action (action_state_or_agent_cue, peak=0.586); 0.0-3.0s agent_action (action_state_or_agent_cue, peak=0.509); 9.0-10.0s agent_action (action_state_or_agent_cue, peak=0.347)",0,1,0,1,0,1
RlfVK8z5wJ0_000000_000010,external_RlfVK8z5wJ0_000000_000010,Sports,0.27812995372929294,0.5577384386638331,2.0053159725711756,scene_spatial,"0.0-3.0s scene_spatial (layout_replay_or_scene_cue, peak=0.558); 9.0-10.0s scene_spatial (layout_replay_or_scene_cue, peak=0.372); 6.0-9.0s scene_spatial (layout_replay_or_scene_cue, peak=0.312)",0,0,0,1,1,1
jeweRSnAJeo_000050_000060,external_jeweRSnAJeo_000050_000060,Film & Animation,0.29497734848555496,0.5153065741077678,1.7469360842566608,scene_spatial,"6.4-9.1s scene_spatial (layout_replay_or_scene_cue, peak=0.515); 3.6-6.4s scene_spatial (layout_replay_or_scene_cue, peak=0.468); 0.0-3.6s scene_spatial (static_ad_ok_low_gap, peak=0.206)",0,0,0,1,1,1
750QhTe9Z4U_000000_000010,external_750QhTe9Z4U_000000_000010,People & Vlogs,0.1550594798400192,0.4508565683102179,2.907636274643665,scene_spatial,"0.0-3.0s scene_spatial (layout_replay_or_scene_cue, peak=0.451); 9.0-10.0s scene_spatial (static_ad_ok_low_gap, peak=0.182); 3.0-6.0s scene_spatial (static_ad_ok_low_gap, peak=0.148)",0,0,0,1,1,1
9fuIpQgnNEQ_000049_000059,external_9fuIpQgnNEQ_000049_000059,Event,0.08256238289820637,0.43344505795107424,5.249909737773455,scene_spatial,"0.0-3.6s scene_spatial (layout_replay_or_scene_cue, peak=0.433); 3.6-6.4s scene_spatial (static_ad_ok_low_gap, peak=0.027); 9.1-10.0s agent_action (static_ad_ok_low_gap, peak=0.017)",0,0,0,1,1,1
AEkLDauJVi0_000069_000079,external_AEkLDauJVi0_000069_000079,Food & Cooking,0.2749336523151358,0.41823743215332343,1.5212304082511126,scene_spatial,"0.0-3.6s scene_spatial (layout_replay_or_scene_cue, peak=0.418); 6.4-9.1s scene_spatial (layout_replay_or_scene_cue, peak=0.373); 3.6-6.4s scene_spatial (layout_replay_or_scene_cue, peak=0.327)",0,0,0,1,1,1
OASCPKazLIM_000132_000142,external_OASCPKazLIM_000132_000142,How-to & Instructional,0.16810691305391517,0.41541523801848446,2.4711371499948527,scene_spatial,"6.4-9.1s scene_spatial (layout_replay_or_scene_cue, peak=0.415); 3.6-6.4s scene_spatial (static_ad_ok_low_gap, peak=0.208); 0.0-3.6s scene_spatial (static_ad_ok_low_gap, peak=0.167)",0,0,0,1,1,1
