clip_key,corpus,category,dominant_roi,visual_mean,control_mean,visual_minus_control,scene_mean,social_action_mean,scene_minus_social_action,accessibility_gap,video_id,adqa_fail,ensemble_fail
external_h8wsO9A9v_c_000016_000026,external,People & Vlogs,retrosplenial_pos,0.030525521936685993,0.04303764912897978,-0.01251212719229379,0.04986753328618085,0.011183510587191137,0.03868402269898971,0.05415916608269211,h8wsO9A9v_c_000016_000026,0,0
external_heWD9j45Emw_000225_000235,external,Music,retrosplenial_pos,0.028490212669122647,0.0769000576678383,-0.04840984499871566,0.032179835174720395,0.0248005901635249,0.0073792450111954955,0.10306860522075945,heWD9j45Emw_000225_000235,0,0
external_iEAWgsSvJAE_000023_000033,external,Film & Animation,early_visual_v1,0.17497329288752672,0.036161120607477504,0.13881217228004922,0.14305307945380397,0.20689350632124948,-0.06384042686744551,0.1313394420555405,iEAWgsSvJAE_000023_000033,0,0
external_iGmGQxox43I_000000_000010,external,How-to & Instructional,higher_visual_v2v3v4,0.024572044815410088,0.04056626857151224,-0.015994223756102155,0.029474571423003054,0.01966951820781712,0.009805053215185933,0.07374964623506675,iGmGQxox43I_000000_000010,0,0
external_iZP6gjlr_nM_000113_000123,external,How-to & Instructional,retrosplenial_pos,0.1804841011800592,0.30506725179998645,-0.12458315061992725,0.3385594060724426,0.022408796287675753,0.31615060978476683,0.23138371134517244,iZP6gjlr_nM_000113_000123,0,0
external_j4CKRgv3jUg_000000_000010,external,Entertainment,scene_ppa,0.2841742254768846,0.018136816079022844,0.26603740939786175,0.49136302954392486,0.0769854214098443,0.41437760813408053,0.19822803697395375,j4CKRgv3jUg_000000_000010,0,0
external_j6CgiNeWQwM_000842_000852,external,Food & Cooking,retrosplenial_pos,0.22046054378256053,0.13405269942757392,0.08640784435498661,0.4095318510972193,0.03138923646790176,0.37814261462931753,0.2593017481760773,j6CgiNeWQwM_000842_000852,0,0
external_jeweRSnAJeo_000050_000060,external,Film & Animation,early_visual_v1,0.3533165395750887,0.11210286215824572,0.24121367741684296,0.5727259744249334,0.13390710472524386,0.4388188696996896,0.3140341851728842,jeweRSnAJeo_000050_000060,0,0
external_lgJywzzdUC8_000000_000010,external,Event,retrosplenial_pos,0.17660272109574102,0.08751333548968354,0.08908938560605748,0.28305622955680476,0.07014921263467727,0.2129070169221275,0.2670980013596652,lgJywzzdUC8_000000_000010,0,0
external_rGQ64NXktF8_000006_000016,external,People & Vlogs,retrosplenial_pos,0.1589639636487915,0.0203132067737678,0.1386507568750237,0.30399698094022803,0.013930946357355006,0.29006603458287306,0.10773152569050348,rGQ64NXktF8_000006_000016,0,0
external_u-olDM7oGGM_000012_000022,external,Health & Wellness,retrosplenial_pos,0.04421225615997851,0.12057832332761353,-0.07636606716763503,0.07460078453417993,0.01382372778577709,0.060777056748402836,0.12743765015316133,u-olDM7oGGM_000012_000022,0,0
external_v2Hr1CH-yb0_000076_000086,external,How-to & Instructional,retrosplenial_pos,0.3084377085552665,0.031307404310638554,0.2771303042446279,0.47261607175597836,0.1442593453545546,0.32835672640142377,0.3238461558501835,v2Hr1CH-yb0_000076_000086,0,0
external_wbOD_G3ttgU_000083_000093,external,How-to & Instructional,retrosplenial_pos,0.05698187110814927,0.050628202108743636,0.0063536689994056345,0.09754196438792803,0.01642177782837051,0.08112018655955752,0.09981857813019979,wbOD_G3ttgU_000083_000093,0,0
external_xW6hpK-DBMY_000080_000090,external,How-to & Instructional,early_visual_v1,0.06474518459362867,0.021594181565072146,0.043151003028556525,0.08140178313480395,0.04808858605245339,0.03331319708235056,0.07645312735790255,xW6hpK-DBMY_000080_000090,0,0
external_yBO8rAMeqjc_000007_000017,external,"Education, Seminar & Talks",retrosplenial_pos,0.09846838983932657,0.1266483410923273,-0.02817995125300074,0.125852984490608,0.07108379518804514,0.05476918930256286,0.21581907279355772,yBO8rAMeqjc_000007_000017,0,0
external_zTJ0Zbv1jBo_000045_000055,external,Health & Wellness,scene_ppa,0.3421721292960245,0.021093301767497408,0.32107882752852707,0.6066338456576367,0.07771041293441225,0.5289234327232244,0.15725142385544388,zTJ0Zbv1jBo_000045_000055,0,0
